call_sign,dma,network_affiliate,fcc_callsign,fcc_dma,
WBUIDT,CHAMPAIGN&SPRNGFLD-DECATUR,CW,WBUI,CHAMPAIGN&SPRNGFLD-DECATUR,
WVTMDT,BIRMINGHAM (ANN AND TUSC),NBC,WVTM-TV,BIRMINGHAM (ANN TUSC),
KOCODT,OKLAHOMA CITY,ABC,KOCO-TV,OKLAHOMA CITY,
WATMDT,JOHNSTOWN-ALTOONA-ST COLGE,ABC,WATM-TV,JOHNSTOWN-ALTOONA-ST COLGE,
WTOVDT2,WHEELING-STEUBENVILLE,NBC,WTOV-TV,WHEELING-STEUBENVILLE,
SPMNHD,HOUSTON,,,,
KSCWDT,WICHITA-HUTCHINSON PLUS,CW,KSCW-DT,WICHITA-HUTCHINSON PLUS,
STZENHD,NEW YORK,,,,
KTHVDT,LITTLE ROCK-PINE BLUFF,CBS,KTHV,LITTLE ROCK-PINE BLUFF,
WISNTV,MILWAUKEE,ABC,WISN-TV,MILWAUKEE,
WKRNDT,NASHVILLE,ABC,WKRN-TV,NASHVILLE,
NFLHD,LOS ANGELES,,,,
WJZDT,BALTIMORE,CBS,WJZ-TV,BALTIMORE,
KSHBDT,KANSAS CITY,NBC,KSHB-TV,KANSAS CITY,
KCBSDT,LOS ANGELES,CBS,KCBS-TV,LOS ANGELES,
KNDODT,YAKIMA-PASCO-RCHLND-KNNWCK,NBC,KNDO,YAKIMA-PASCO-RCHLND-KNNWCK,
ESPN2HD,NEW YORK,,,,
KBSIDT,PADUCAH-CAPE GIRARD-HARSBG,FOX,KBSI,PADUCAH-CAPE GIRARD-HARSBG,
WSMVDT,NASHVILLE,NBC,WSMV-TV,NASHVILLE,
KGWDT,PORTLAND OR,CBS,KGWL-TV,CASPER-RIVERTON,
WBAYDT,GREEN BAY-APPLETON,ABC,WBAY-TV,GREEN BAY-APPLETON,
WPCWDT,PITTSBURGH,THE CW NETWORK,WPCW,PITTSBURGH,
TBSHD,NEW YORK,,,,
KWTVDT,OKLAHOMA CITY,CBS,KWTV-DT,OKLAHOMA CITY,
KFOXDT,EL PASO (LAS CRUCES),FOX,KFOX-TV,EL PASO (LAS CRUCES),
DXDHD,LOS ANGELES,,,,
QVCHD,NEW YORK,,,,
KETVDT,OMAHA,ABC,KETV,OMAHA,
WCHSDT,CHARLESTON-HUNTINGTON,ABC,WCHS-TV,CHARLESTON-HUNTINGTON,
KFVSDT,PADUCAH-CAPE GIRARD-HARSBG,CBS,KFVS-TV,PADUCAH-CAPE GIRARD-HARSBG,
KVVUDT,LAS VEGAS,FOX,KVVU-TV,LAS VEGAS,
STZEHD,NEW YORK,,,,
KMTRDT,EUGENE,NBC,KMTR,EUGENE,
KTBCDT,AUSTIN,FOX,KTBC,AUSTIN,
WVITDT,HARTFORD & NEW HAVEN,NBC,WVIT,HARTFORD & NEW HAVEN,
KNINDT,BOISE,FOX,KNIN-TV,BOISE,
WDKADT,PADUCAH-CAPE GIRARD-HARSBG,MYTV,WDKA,PADUCAH-CAPE GIRARD-HARSBG,
WNYTDT,ALBANY-SCHENECTADY-TROY,NBC,WNYT,ALBANY-SCHENECTADY-TROY,
KCPQDT,SEATTLE-TACOMA,FOX,KCPQ,SEATTLE-TACOMA,
KFXVLD,HARLINGEN-WSLCO-BRNSVL-MCA,-,KFXV-LD,-,
WCDCDT,ALBANY-SCHENECTADY-TROY,ABC,WCDC-TV,ALBANY-SCHENECTADY-TROY,
AETVHD,LOS ANGELES,,,,
DISNHD,LOS ANGELES,,,,
WXIXDT,CINCINNATI,FOX,WXIX-TV,CINCINNATI,
WCBDDT,CHARLESTON SC,NBC,WCBD-TV,CHARLESTON SC,
KSNBDT,LINCOLN & HASTINGS-KRNY,FOX,KSNB-TV,LINCOLN & HASTINGS-KRNY,
VICEHD,LOS ANGELES,,,,
UHD,NEW YORK,,,,
WTXLDT,TALLAHASSEE-THOMASVILLE,ABC,WTXL-TV,TALLAHASSEE-THOMASVILLE,
KABBDT,SAN ANTONIO,FOX,KABB,SAN ANTONIO,
WYZZDT,PEORIA-BLOOMINGTON,FOX,WYZZ-TV,PEORIA-BLOOMINGTON,
NFLNRZD,LOS ANGELES,,,,
WHIODT,DAYTON,CBS,WHIO-TV,DAYTON,
WPGHDT,PITTSBURGH,FOX,WPGH-TV,PITTSBURGH,
KOCBDT,OKLAHOMA CITY,CW,KOCB,OKLAHOMA CITY,
WJARDT,PROVIDENCE-NEW BEDFORD,NBC,WJAR,PROVIDENCE-NEW BEDFORD,
WBBMDT,CHICAGO,CBS,WBBM-TV,CHICAGO,
